証券コード,銘柄名,セクター,注目・成長の視点
8035,東京エレクトロン,半導体・電子部品・ハイテク,半導体製造装置世界大手。AI需要拡大の世界的本命
6857,アドバンテスト,半導体・電子部品・ハイテク,半導体テスタ世界首位級。AIチップ需要が強力な追い風
6146,ディスコ,半導体・電子部品・ハイテク,半導体切断・研削装置で世界シェア圧倒的
6758,ソニーグループ,半導体・電子部品・ハイテク,エンタメ（ゲーム・音楽・映画）と画像センサーで世界トップ
6501,日立製作所,半導体・電子部品・ハイテク,IT×インフラ（Lumada）の事業再編が結実、利益率急向上
6920,レーザーテック,半導体・電子部品・ハイテク,EUV用マスク検査装置で世界シェア100%独占
6723,ルネサスエレクトロニクス,半導体・電子部品・ハイテク,車載・産業用半導体大手。M&Aで成長加速
6981,村田製作所,半導体・電子部品・ハイテク,積層セラミックコンデンサ（MLCC）世界首位
6762,TDK,半導体・電子部品・ハイテク,電池・電子部品大手。スマホ・EV・産業機器向け需要
6965,浜松ホトニクス,半導体・電子部品・ハイテク,光センサー・光関連技術で世界最高峰の技術力
6871,日本マイクロニクス,半導体・電子部品・ハイテク,半導体計測用プローブカード大手
7735,SCREENホールディングス,半導体・電子部品・ハイテク,半導体洗浄装置で世界首位
6702,富士通,半導体・電子部品・ハイテク,ITサービス・DX支援の国内最大手。モデル変革進行中
9613,NTTデータグループ,半導体・電子部品・ハイテク,ITサービス・システム統合大手。グローバル拡大
4063,信越化学工業,半導体・電子部品・ハイテク,塩ビおよび半導体シリコンウェハーで世界首位
7011,三菱重工業,防衛・インフラ重工・機械,防衛・タービン・宇宙事業の国策本命。防衛予算増額が追い風
7012,川崎重工業,防衛・インフラ重工・機械,防衛（航空機・潜水艦）および水素エネルギー関連の主軸
7013,IHI,防衛・インフラ重工・機械,航空エンジン・防衛・エネルギーインフラの大型株
6301,小松製作所（コマツ）,防衛・インフラ重工・機械,建機世界2位。スマート施工・鉱山機械で高い収益力
6326,クボタ,防衛・インフラ重工・機械,農業機械・水インフラ大手。海外（北米・アジア）展開強み
6367,ダイキン工業,防衛・インフラ重工・機械,空調（エアコン）世界首位。環境対応でグローバル成長
6273,SMC,防衛・インフラ重工・機械,空圧制御機器で世界シェア首位。工場自動化（FA）需要
6302,住友重機械工業,防衛・インフラ重工・機械,減速機や造船、産業機械の大手
7003,三井E&S,防衛・インフラ重工・機械,港湾クレーンや船舶用エンジンで世界首位級
6473,ジェイテクト,防衛・インフラ重工・機械,自動車部品・軸受（ベアリング）大手
6113,アマダ,防衛・インフラ重工・機械,金属加工機械の大手。自動化ニーズ捕捉
6361,荏原製作所,防衛・インフラ重工・機械,ポンプ世界大手、半導体研磨装置（CMP）も強力
8058,三菱商事,総合商社,総合商社首位。資源・非資源・LNG・再エネなど抜群の安定感
8031,三井物産,総合商社,金属資源・エネルギー・ヘルスケアに強み
8001,伊藤忠商事,総合商社,非資源・消費財・ファミマ等内需の強さに定評
8053,住友商事,総合商社,メディア・不動産・インフラ・金属資源に強み
8015,豊田通商,総合商社,トヨタグループ商社。アフリカビジネス・リチウム資源推進
8306,三菱UFJフィナンシャル・グループ,金融,国内最大のメガバンク。金利上昇局面での利ざや拡大本命
8316,三井住友フィナンシャルグループ,金融,高い収益性と株主還元力を持つメガバンク
8411,みずほフィナンシャルグループ,金融,システム再構築完了、事業会社向け・投資銀行ビジネス好調
8766,東京海上ホールディングス,金融,損保首位。海外保険事業の収益拡大が成長を牽引
8630,SOMPOホールディングス,金融,損保大手。介護・海外事業も拡大
8725,MS&ADインシュアランスグループ,金融,損保大手。積極的な自己株買いと資本効率向上
8591,オリックス,金融,金融、海外、環境・エネルギー、不動産など高ROIC経営
8604,野村ホールディングス,金融,証券最大手。資本市場の活性化・取引増が追い風
8601,大和証券グループ本社,金融,証券大手。ウェルスマネジメント強化
8308,りそなホールディングス,金融,商業銀行首位級。リテール・中小企業金融に強み
8309,三井住友トラスト・ホールディングス,金融,専業信託銀行首位。資産運用・管理ビジネス好調
8473,SBIホールディングス,金融,ネット証券首位。金融生態系の拡大と暗号資産・AI関連
8593,三菱HCキャピタル,金融,連続増配・事業規模拡大が続く大手総合リース
7182,ゆうちょ銀行,金融,巨大な運用資産の利回り改善期待
8750,第一生命ホールディングス,金融,生保大手。海外事業や資産運用分野での成長推進
7203,トヨタ自動車,グローバル製造業・自動車・素材,世界首位の自動車メーカー。ハイブリッド（HEV）と強固な財務
7267,ホンダ,グローバル製造業・自動車・素材,二輪世界首位、四輪・航空機事業、電動化推進
5401,日本製鉄,グローバル製造業・自動車・素材,鉄鋼国内首位。高級鋼板とグローバル再編（USスチール等）
3402,東レ,グローバル製造業・自動車・素材,炭素繊維世界首位。航空機・環境対応部材で強い
5108,ブリヂストン,グローバル製造業・自動車・素材,タイヤ世界大手。プレミアムタイヤへのシフトで高収益化
4901,富士フイルムホールディングス,グローバル製造業・自動車・素材,ヘルスケア（バイオCDMO・医薬品）へ転換成功
7270,SUBARU,グローバル製造業・自動車・素材,北米市場での高いブランド力と収益性
7269,スズキ,グローバル製造業・自動車・素材,インド市場での圧倒的シェアと成長性
6902,デンソー,グローバル製造業・自動車・素材,トヨタ系最大手部品メーカー。電動化・自動運転の要
7202,いすゞ自動車,グローバル製造業・自動車・素材,商用車（トラック）大手。海外・東南アジア展開に強み
5201,AGC,グローバル製造業・自動車・素材,ガラス・化学大手。半導体関連素材・バイオ医薬品受託
5411,JFEホールディングス,グローバル製造業・自動車・素材,鉄鋼大手。高炉再編と高付加価値化
3407,旭化成,グローバル製造業・自動車・素材,住宅・素材・ヘルスケアの複合経営
4188,三菱ケミカルグループ,グローバル製造業・自動車・素材,国内総合化学最大手。事業ポートフォリオ再編中
4606,関西ペイント,グローバル製造業・自動車・素材,自動車・建築用塗料大手。インド市場での成長
5713,住友金属鉱山,グローバル製造業・自動車・素材,銅・ニッケル資源開発と電池材料で強み
5711,三菱マテリアル,グローバル製造業・自動車・素材,非鉄金属・超硬工具大手。リサイクル関連
5802,住友電気工業,グローバル製造業・自動車・素材,ワイヤーハーネス・電力ケーブル・光ファイバー大手
9432,日本電信電話（NTT）,通信・電力・エネルギー・インフラ,国内通信基盤。光半導体ネットワーク（IOWN）構想で成長期す
9433,KDDI,通信・電力・エネルギー・インフラ,通信＋DX・金融・ライフデザインの推進で安定成長
9434,ソフトバンク,通信・電力・エネルギー・インフラ,高配当かつPayPayなどグループシナジー成長
9501,東京電力ホールディングス,通信・電力・エネルギー・インフラ,首都圏の電力供給。原子力再稼働や再エネ投資が焦点
9503,関西電力,通信・電力・エネルギー・インフラ,原子力発電比率が高く、原価競争力と収益改善が顕著
9502,中部電力,通信・電力・エネルギー・インフラ,JERA（火力発電）を通じた事業基盤と再エネ成長
1605,INPEX,通信・電力・エネルギー・インフラ,国策の石油・LNG開発最大手。脱炭素・水素投資も
9531,東京ガス,通信・電力・エネルギー・インフラ,都市ガス大手。脱炭素エネルギー・LNGソリューション
9532,大阪ガス,通信・電力・エネルギー・インフラ,近畿圏の都市ガス大手。海外エネルギー事業強化
9020,東日本旅客鉄道（JR東日本）,通信・電力・エネルギー・インフラ,鉄道インフラ＋不動産・ホテル・人流回復によるキャピタル
4519,中外製薬,内需・消費・医薬品・サービス,ロシュ傘下。抗体医薬品に強みがあり、開発力が非常に優秀
4502,武田薬品工業,内需・消費・医薬品・サービス,国内製薬首位。グローバル新薬パイプラインの収穫期
4568,第一三共,内需・消費・医薬品・サービス,抗がん剤（ADC技術）で世界的に非常に高い評価と成長力
4523,エーザイ,内需・消費・医薬品・サービス,アルツハイマー病治療薬「レカネマブ」展開
7974,任天堂,内需・消費・医薬品・サービス,世界的IP（マリオ・ポケモン・ゼルダ）と次世代ハード期待
3382,セブン＆アイ・ホールディングス,内需・消費・医薬品・サービス,グローバルコンビニ展開。構造改革と価値向上
9983,ファーストリテイリング,内需・消費・医薬品・サービス,ユニクロのグローバル成長（欧米・アジア拡大）
4385,メルカリ,内需・消費・医薬品・サービス,フリマアプリ大手。国内基盤と金融・暗号資産連携
2802,味の素,内需・消費・医薬品・サービス,アミノ酸技術を活用した半導体絶縁材料（ABF）でも急拡大
2502,アサヒグループホールディングス,内需・消費・医薬品・サービス,ビール首位。海外（欧州・豪州）ブランド展開が成功
2503,キリンホールディングス,内需・消費・医薬品・サービス,清涼飲料・ビール＋ヘルスケア・医薬展開
4452,花王,内需・消費・医薬品・サービス,日用品大手。価格改定とグローバルマーケティング再構築
9021,西日本旅客鉄道（JR西日本）,内需・消費・医薬品・サービス,山陽新幹線・近畿圏インフラとインバウンド需要
9022,東海旅客鉄道（JR東海）,内需・消費・医薬品・サービス,リニア新幹線・東海道新幹線の圧倒的キャッシュ創出力
4661,オリエンタルランド,内需・消費・医薬品・サービス,東京ディズニーリゾート運営。パーク拡張と高い顧客単価
8801,三井不動産,不動産・コングロマリット・その他,不動産首位。ビル・商業施設開発とホテル事業の好調
8802,三菱地所,不動産・コングロマリット・その他,丸ノ内エリアの圧倒的基盤と再開発プロジェクト
8830,住友不動産,不動産・コングロマリット・その他,オフィスビル賃貸・マンション分譲で高利幅
9984,ソフトバンクグループ,不動産・コングロマリット・その他,AI関連投資ファンド（SVF）とArmを軸としたキャピタル狙い
9735,セコム,不動産・コングロマリット・その他,警備保障首位。B2B・B2Cのストックビジネスで堅牢
4689,LINEヤフー,不動産・コングロマリット・その他,国内最大級のポータル・SNS基盤。検索・広告・決済統合
4732,ユー・エス・エス,不動産・コングロマリット・その他,中古車オークション首位。高い利益率とシェア
9101,日本郵船,不動産・コングロマリット・その他,海運大手。物流・エネルギー輸送などの総合物流化
9104,商船三井,不動産・コングロマリット・その他,海運大手。LNG船や洋上風力支援など環境分野積極投資
9064,ヤマトホールディングス,不動産・コングロマリット・その他,宅急便大手。構造改革と法人向け物流拡大
